name,ate_test,pehe_test,ate_sl_dt_ate,pehe_sl_dt_ate,ate_sl_dt_pehe,pehe_sl_dt_pehe,ate_sl_lgbm_ate,pehe_sl_lgbm_ate,ate_sl_lgbm_pehe,pehe_sl_lgbm_pehe,ate_sl_kr_ate,pehe_sl_kr_ate,ate_sl_kr_pehe,pehe_sl_kr_pehe,ate_tl_dt_ate,pehe_tl_dt_ate,ate_tl_dt_pehe,pehe_tl_dt_pehe,ate_tl_lgbm_ate,pehe_tl_lgbm_ate,ate_tl_lgbm_pehe,pehe_tl_lgbm_pehe,ate_tl_kr_ate,pehe_tl_kr_ate,ate_tl_kr_pehe,pehe_tl_kr_pehe,ate_match_1k_ate,pehe_match_1k_ate,ate_match_1k_pehe,pehe_match_1k_pehe,ate_match_3k_ate,pehe_match_3k_ate,ate_match_3k_pehe,pehe_match_3k_pehe,ate_match_5k_ate,pehe_match_5k_ate,ate_match_5k_pehe,pehe_match_5k_pehe,ate_rs_dt,pehe_rs_dt,ate_rs_lgbm,pehe_rs_lgbm,ate_rs_kr,pehe_rs_kr
l1,$0.044\pm0.015$,$2.140\pm0.178$,$0.501\pm0.130$,$3.163\pm0.311$,$0.492\pm0.110$,$2.783\pm0.229$,$0.298\pm0.095$,$2.789\pm0.321$,$0.436\pm0.121$,$3.020\pm0.303$,$2.913\pm0.249$,$4.427\pm0.330$,$2.913\pm0.249$,$4.427\pm0.330$,$0.365\pm0.106$,$2.940\pm0.269$,$0.526\pm0.093$,$2.640\pm0.206$,$0.301\pm0.078$,$2.917\pm0.326$,$0.525\pm0.096$,$2.503\pm0.208$,$0.856\pm0.118$,$3.075\pm0.216$,$0.705\pm0.136$,$3.070\pm0.247$,$0.488\pm0.100$,$3.067\pm0.317$,$0.414\pm0.100$,$2.411\pm0.208$,$0.509\pm0.100$,$3.176\pm0.196$,$0.452\pm0.096$,$2.451\pm0.197$,$0.581\pm0.085$,$3.087\pm0.249$,$0.541\pm0.095$,$2.514\pm0.202$,$0.241\pm0.055$,$2.607\pm0.365$,$0.403\pm0.128$,$2.560\pm0.227$,$0.222\pm0.052$,$2.391\pm0.190$
l2,$0.065\pm0.040$,$3.208\pm0.270$,$0.349\pm0.122$,$4.492\pm0.857$,$0.184\pm0.079$,$3.284\pm0.304$,$0.214\pm0.077$,$3.799\pm0.626$,$0.205\pm0.076$,$3.285\pm0.304$,$0.514\pm0.135$,$10.225\pm2.252$,$0.263\pm0.074$,$3.289\pm0.304$,$0.305\pm0.133$,$4.734\pm1.000$,$0.176\pm0.071$,$3.283\pm0.303$,$0.285\pm0.104$,$4.640\pm0.968$,$0.175\pm0.071$,$3.283\pm0.303$,$0.322\pm0.082$,$5.257\pm1.144$,$0.254\pm0.067$,$3.287\pm0.303$,$0.533\pm0.131$,$10.665\pm1.850$,$0.184\pm0.069$,$3.283\pm0.303$,$0.618\pm0.183$,$8.979\pm2.209$,$0.184\pm0.069$,$3.283\pm0.303$,$0.528\pm0.133$,$9.770\pm2.334$,$0.176\pm0.071$,$3.283\pm0.303$,$0.254\pm0.068$,$3.287\pm0.303$,$0.263\pm0.074$,$3.289\pm0.304$,$0.203\pm0.070$,$3.288\pm0.302$
dt,$0.002\pm0.001$,$2.078\pm0.156$,$0.476\pm0.129$,$2.830\pm0.253$,$0.527\pm0.134$,$2.831\pm0.220$,$0.332\pm0.105$,$3.059\pm0.393$,$0.592\pm0.206$,$2.995\pm0.339$,$0.935\pm0.168$,$2.954\pm0.329$,$0.901\pm0.176$,$2.997\pm0.318$,$0.367\pm0.090$,$2.768\pm0.188$,$0.392\pm0.097$,$2.703\pm0.200$,$0.330\pm0.092$,$2.820\pm0.168$,$0.316\pm0.080$,$2.585\pm0.189$,$0.595\pm0.078$,$2.541\pm0.136$,$0.694\pm0.070$,$2.895\pm0.288$,$0.368\pm0.069$,$3.199\pm0.295$,$0.391\pm0.095$,$2.735\pm0.224$,$0.376\pm0.082$,$3.429\pm0.374$,$0.376\pm0.080$,$2.733\pm0.228$,$0.450\pm0.077$,$2.948\pm0.177$,$0.423\pm0.093$,$2.555\pm0.218$,$0.225\pm0.049$,$2.681\pm0.257$,$0.475\pm0.098$,$2.498\pm0.155$,$0.201\pm0.070$,$3.011\pm0.407$
rf,$0.026\pm0.020$,$1.911\pm0.166$,$0.460\pm0.125$,$2.491\pm0.206$,$0.547\pm0.131$,$2.687\pm0.211$,$0.299\pm0.100$,$2.679\pm0.410$,$0.472\pm0.134$,$2.660\pm0.214$,$0.365\pm0.204$,$2.925\pm0.479$,$0.495\pm0.202$,$2.767\pm0.349$,$0.366\pm0.098$,$2.238\pm0.231$,$0.409\pm0.109$,$2.428\pm0.182$,$0.325\pm0.070$,$2.200\pm0.180$,$0.361\pm0.082$,$2.275\pm0.161$,$0.144\pm0.028$,$2.552\pm0.389$,$0.347\pm0.097$,$2.555\pm0.197$,$0.389\pm0.093$,$3.045\pm0.324$,$0.276\pm0.073$,$1.932\pm0.168$,$0.404\pm0.073$,$2.901\pm0.174$,$0.272\pm0.069$,$1.934\pm0.167$,$0.453\pm0.062$,$2.797\pm0.234$,$0.283\pm0.076$,$1.933\pm0.168$,$0.209\pm0.058$,$1.976\pm0.184$,$0.260\pm0.068$,$1.936\pm0.166$,$0.300\pm0.076$,$1.989\pm0.173$
et,$0.035\pm0.027$,$1.916\pm0.176$,$0.471\pm0.124$,$2.498\pm0.259$,$0.529\pm0.115$,$2.619\pm0.199$,$0.291\pm0.084$,$2.890\pm0.396$,$0.459\pm0.088$,$2.701\pm0.240$,$0.286\pm0.118$,$2.798\pm0.417$,$0.409\pm0.100$,$2.669\pm0.266$,$0.370\pm0.093$,$2.277\pm0.224$,$0.457\pm0.099$,$2.384\pm0.183$,$0.312\pm0.066$,$2.321\pm0.205$,$0.433\pm0.082$,$2.235\pm0.160$,$0.173\pm0.033$,$2.533\pm0.387$,$0.371\pm0.090$,$2.499\pm0.188$,$0.444\pm0.110$,$2.860\pm0.346$,$0.341\pm0.086$,$1.950\pm0.172$,$0.495\pm0.096$,$2.982\pm0.220$,$0.341\pm0.087$,$1.947\pm0.170$,$0.526\pm0.086$,$2.776\pm0.296$,$0.352\pm0.083$,$1.963\pm0.166$,$0.274\pm0.073$,$1.973\pm0.191$,$0.294\pm0.075$,$2.000\pm0.188$,$0.318\pm0.081$,$2.014\pm0.172$
kr,$0.022\pm0.006$,$2.475\pm0.276$,$0.439\pm0.087$,$3.367\pm0.507$,$0.584\pm0.159$,$3.411\pm0.555$,$0.202\pm0.083$,$3.431\pm0.654$,$0.508\pm0.153$,$3.353\pm0.562$,$2.840\pm0.233$,$4.398\pm0.321$,$2.911\pm0.250$,$4.426\pm0.330$,$0.363\pm0.089$,$3.366\pm0.477$,$0.374\pm0.085$,$3.134\pm0.525$,$0.288\pm0.069$,$3.108\pm0.444$,$0.218\pm0.061$,$3.229\pm0.561$,$0.501\pm0.125$,$7.310\pm2.514$,$1.700\pm0.293$,$3.446\pm0.297$,$0.998\pm0.364$,$9.795\pm3.528$,$0.877\pm0.345$,$2.986\pm0.314$,$1.191\pm0.364$,$7.756\pm2.919$,$0.646\pm0.309$,$2.886\pm0.342$,$1.181\pm0.359$,$7.738\pm2.900$,$0.797\pm0.350$,$2.980\pm0.345$,$0.194\pm0.061$,$3.161\pm0.583$,$0.529\pm0.213$,$3.057\pm0.575$,$0.850\pm0.314$,$3.018\pm0.356$
cb,$0.035\pm0.015$,$1.544\pm0.128$,$0.305\pm0.082$,$1.827\pm0.165$,$0.211\pm0.048$,$1.968\pm0.132$,$0.232\pm0.055$,$1.856\pm0.150$,$0.205\pm0.048$,$1.962\pm0.131$,$0.331\pm0.047$,$2.446\pm0.358$,$0.251\pm0.062$,$2.470\pm0.362$,$0.253\pm0.069$,$1.742\pm0.143$,$0.220\pm0.048$,$1.969\pm0.132$,$0.250\pm0.061$,$1.708\pm0.146$,$0.200\pm0.043$,$1.828\pm0.143$,$0.290\pm0.031$,$2.364\pm0.368$,$0.257\pm0.063$,$2.132\pm0.128$,$0.244\pm0.050$,$1.856\pm0.114$,$0.219\pm0.059$,$1.695\pm0.133$,$0.208\pm0.052$,$1.735\pm0.136$,$0.206\pm0.059$,$1.701\pm0.134$,$0.245\pm0.067$,$1.729\pm0.143$,$0.207\pm0.059$,$1.703\pm0.133$,$0.178\pm0.047$,$1.621\pm0.129$,$0.136\pm0.028$,$1.755\pm0.135$,$0.222\pm0.049$,$1.604\pm0.128$
lgbm,$0.029\pm0.015$,$1.693\pm0.125$,$0.287\pm0.075$,$1.916\pm0.167$,$0.237\pm0.090$,$1.957\pm0.171$,$0.269\pm0.088$,$2.735\pm0.253$,$0.284\pm0.095$,$1.995\pm0.163$,$0.766\pm0.056$,$2.714\pm0.403$,$0.753\pm0.058$,$2.709\pm0.403$,$0.199\pm0.040$,$1.794\pm0.124$,$0.164\pm0.032$,$1.857\pm0.132$,$0.190\pm0.049$,$1.937\pm0.148$,$0.159\pm0.028$,$1.831\pm0.133$,$0.623\pm0.030$,$2.507\pm0.273$,$0.722\pm0.059$,$2.703\pm0.424$,$0.244\pm0.044$,$2.293\pm0.203$,$0.180\pm0.035$,$1.801\pm0.124$,$0.197\pm0.053$,$2.482\pm0.229$,$0.165\pm0.032$,$1.806\pm0.130$,$0.201\pm0.044$,$2.128\pm0.173$,$0.178\pm0.033$,$1.811\pm0.129$,$0.143\pm0.034$,$1.762\pm0.126$,$0.253\pm0.060$,$1.883\pm0.100$,$0.203\pm0.047$,$1.780\pm0.133$
mlp,$0.000\pm0.000$,$2.306\pm0.122$,$0.618\pm0.092$,$5.295\pm0.603$,$1.809\pm0.502$,$3.900\pm0.649$,$0.366\pm0.119$,$5.234\pm0.539$,$1.405\pm0.189$,$3.434\pm0.310$,$2.582\pm0.201$,$5.784\pm0.662$,$2.413\pm0.209$,$4.010\pm0.314$,$0.686\pm0.164$,$5.880\pm1.162$,$1.707\pm0.516$,$3.636\pm0.648$,$0.641\pm0.137$,$5.445\pm0.601$,$0.869\pm0.191$,$3.209\pm0.352$,$0.913\pm0.206$,$6.405\pm1.112$,$1.477\pm0.155$,$3.208\pm0.249$,$0.804\pm0.231$,$6.721\pm1.678$,$0.653\pm0.169$,$3.438\pm0.405$,$1.005\pm0.206$,$7.901\pm1.545$,$0.624\pm0.176$,$3.461\pm0.404$,$0.959\pm0.370$,$7.145\pm1.458$,$0.537\pm0.184$,$3.459\pm0.410$,$1.389\pm0.564$,$4.046\pm0.652$,$1.497\pm0.164$,$3.426\pm0.310$,$0.513\pm0.134$,$3.979\pm0.469$
