estimator,base learner,prob_avg,err_avg,prob_ind,err_ind
SL,L1,0.8,0.1431381616946834,0.525,0.1547577946340668
SL,L2,0.8,0.1431381616946834,0.525,0.1547577946340668
SL,DT,0.8,0.1431381616946834,0.575,0.15319848236846212
SL,RF,0.8,0.1431381616946834,0.6,0.15182094717133074
SL,ET,0.8,0.1431381616946834,0.525,0.1547577946340668
SL,KR,0.6333333333333333,0.17244369988384506,0.525,0.1547577946340668
SL,LGBM,0.9,0.10735362127101254,0.65,0.14781441066418388
SL,CB,0.9,0.10735362127101254,0.675,0.1451508697872665
SL,NN,0.5666666666666667,0.17732514600982965,0.45,0.15417490068101228
TL,L1,0.8333333333333334,0.13336110821819522,0.575,0.15319848236846212
TL,L2,0.8,0.1431381616946834,0.35,0.14781441066418388
TL,DT,0.7666666666666667,0.15135163863836598,0.65,0.14781441066418388
TL,RF,0.8666666666666667,0.12164404660349831,0.575,0.15319848236846212
TL,ET,0.8,0.1431381616946834,0.7,0.1420154921126565
TL,KR,0.43333333333333335,0.17732514600982965,0.525,0.1547577946340668
TL,LGBM,0.8666666666666667,0.12164404660349831,0.65,0.14781441066418388
TL,CB,0.9333333333333333,0.08926232667235916,0.7,0.1420154921126565
TL,NN,0.8666666666666667,0.12164404660349831,0.575,0.15319848236846212
IPSW,L1,0.8,0.1431381616946834,0.5,0.1549516053482506
IPSW,L2,0.5333333333333333,0.17852465334471834,0.375,0.15003124674546964
IPSW,DT,0.8,0.1431381616946834,0.55,0.15417490068101228
IPSW,RF,0.8666666666666667,0.12164404660349831,0.65,0.14781441066418388
IPSW,ET,0.5333333333333333,0.17852465334471834,0.45,0.15417490068101228
IPSW,KR,0.3333333333333333,0.1686899413014786,0.2,0.12396128427860048
IPSW,LGBM,0.9,0.10735362127101254,0.65,0.14781441066418388
IPSW,CB,0.9,0.10735362127101254,0.65,0.14781441066418388
IPSW,NN,0.0,0.0,0.0,0.0
DML,L1,0.8333333333333334,0.13336110821819522,0.525,0.1547577946340668
DML,L2,0.8,0.1431381616946834,0.4,0.15182094717133074
DML,DT,0.8333333333333334,0.13336110821819522,0.575,0.15319848236846212
DML,RF,0.9333333333333333,0.08926232667235916,0.525,0.1547577946340668
DML,ET,0.9333333333333333,0.08926232667235916,0.5,0.1549516053482506
DML,KR,0.8333333333333334,0.13336110821819522,0.6,0.15182094717133074
DML,LGBM,0.7,0.16398536520067883,0.55,0.15417490068101228
DML,CB,0.9333333333333333,0.08926232667235916,0.55,0.15417490068101228
DML,NN,0.0,0.0,0.0,0.0
DR,L1,0.9,0.10735362127101254,0.525,0.1547577946340668
DR,L2,0.6,0.17530772943598352,0.325,0.14515086978726652
DR,DT,0.9,0.10735362127101254,0.675,0.1451508697872665
DR,RF,0.8,0.1431381616946834,0.625,0.15003124674546964
DR,ET,0.8,0.1431381616946834,0.625,0.15003124674546964
DR,KR,0.4666666666666667,0.17852465334471834,0.4,0.15182094717133074
DR,LGBM,0.6333333333333333,0.17244369988384506,0.45,0.15417490068101228
DR,CB,0.9,0.10735362127101254,0.675,0.1451508697872665
DR,NN,0.0,0.0,0.0,0.0
XL,L1,0.9,0.10735362127101254,0.625,0.15003124674546964
XL,L2,0.8666666666666667,0.12164404660349831,0.375,0.15003124674546964
XL,DT,0.7666666666666667,0.15135163863836598,0.65,0.14781441066418388
XL,RF,0.8666666666666667,0.12164404660349831,0.575,0.15319848236846212
XL,ET,0.8666666666666667,0.12164404660349831,0.65,0.14781441066418388
XL,KR,0.7333333333333333,0.15824519184082889,0.575,0.15319848236846212
XL,LGBM,0.8666666666666667,0.12164404660349831,0.625,0.15003124674546964
XL,CB,0.8666666666666667,0.12164404660349831,0.7,0.1420154921126565
XL,NN,0.0,0.0,0.0,0.0
CF,,0.8,0.1431381616946834,0.625,0.15003124674546964
